model,n_all,spearman_avg,n_left_1,spearman_avg_left1,n_right_1,spearman_avg_right1,n_left_3,spearman_avg_left3,n_right_3,spearman_avg_right3,n_left_5,spearman_avg_left5,n_right_5,spearman_avg_right5
ESM2 35M,9796,0.0253792198961806,789,0.07319167956567571,835,0.06786795494352815,2301,0.12245004211825383,2297,0.0182769225399545,3709,0.06128370580138016,3692,0.01403642542345788
Evo OAS Full,9796,0.00723864644062007,789,0.031242699628088805,835,0.13582430510343965,2301,0.09322551307498164,2297,0.23486500747497321,3709,0.02281329414411735,3692,0.03772672551256335
Evo OAS+C05 BLOSUM25,9796,0.09975623899742553,789,0.07391050365540903,835,0.18843316593300527,2301,0.15993318849994745,2297,0.2727442022714976,3709,0.107965822509713,3692,0.12898345880991427
