model,n_train,seed,test_spearman_avg,run_dir
evo_c05_blosum25,5000,0,0.4852237838755593,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_c05_blosum25_n5000_s0_20260623_113305
evo_c05_blosum25,5000,1,0.5100771744515562,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_c05_blosum25_n5000_s1_20260623_113312
evo_c05_blosum25,5000,2,0.5137577697161079,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_c05_blosum25_n5000_s2_20260623_113311
vanilla_35m,50,0,-0.22840254050413164,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n50_s0_20260623_103253
vanilla_35m,50,1,-0.2138999891422816,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n50_s1_20260623_103252
vanilla_35m,50,2,-0.22469858727239742,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n50_s2_20260623_103534
vanilla_35m,100,0,-0.22712789088653745,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n100_s0_20260623_103411
vanilla_35m,100,1,-0.19019234101457358,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n100_s1_20260623_103413
vanilla_35m,100,2,-0.24748887716794626,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n100_s2_20260623_103411
vanilla_35m,200,0,-0.22863996479702264,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n200_s0_20260623_103343
vanilla_35m,200,1,-0.24641808785050393,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n200_s1_20260623_103344
vanilla_35m,200,2,-0.15706992449587304,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n200_s2_20260623_103344
vanilla_35m,500,0,0.028015270999106417,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n500_s0_20260623_103344
vanilla_35m,500,1,0.04671807780754283,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n500_s1_20260623_103343
vanilla_35m,500,2,-0.038910691210328446,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n500_s2_20260623_103343
vanilla_35m,1000,0,0.005128063867345341,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n1000_s0_20260623_103343
vanilla_35m,1000,1,-0.043679056938552306,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n1000_s1_20260623_103346
vanilla_35m,1000,2,0.06072334893861091,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n1000_s2_20260623_103343
vanilla_35m,2000,0,0.4368983729268774,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n2000_s0_20260623_103343
vanilla_35m,2000,1,0.2781066193931109,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n2000_s1_20260623_103343
vanilla_35m,2000,2,0.32709337070681754,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n2000_s2_20260623_103344
vanilla_35m,5000,0,0.48572336082357187,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n5000_s0_20260623_103411
vanilla_35m,5000,1,0.44261836196580095,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n5000_s1_20260623_103410
vanilla_35m,5000,2,0.4333913873194126,/cluster/scratch/mdenegri/protein-design/train/lowdata_vanilla_35m_n5000_s2_20260623_103417
