model,label,dataset,n_train,ridge_spearman_mean,ridge_spearman_std,n_repeats
evo_35m,Evo-35M,ed5_m22,2000,0.7266203858151534,0.0031322708615544584,20
evo_35m,Evo-35M,ed5_m22,5000,0.7379867157000166,0.0017445816511598004,20
evo_35m,Evo-35M,ed811_m22,25,0.31574219865237213,0.08379502464936053,20
evo_35m,Evo-35M,ed811_m22,50,0.39179738747656584,0.044913070677618176,20
evo_35m,Evo-35M,ed811_m22,100,0.4518251788779257,0.06109983736542626,20
evo_35m,Evo-35M,ed811_m22,200,0.4875640313515988,0.027274649304479266,20
evo_35m,Evo-35M,ed811_m22,500,0.5530861161972114,0.017617653845583846,20
evo_35m,Evo-35M,ed811_m22,1000,0.5941975011077945,0.008623123815979763,20
evo_35m,Evo-35M,ed811_m22,2000,0.6275541898502347,0.004320174952505407,20
evo_35m,Evo-35M,ed811_m22,5000,0.6506704143462285,0.0014680792302738791,20
evo_35m,Evo-35M,ed2_si06,25,0.1295531164975832,0.06512629025647695,20
evo_35m,Evo-35M,ed2_si06,50,0.18611484746537516,0.04161884242866858,20
evo_35m,Evo-35M,ed2_si06,100,0.2576513125655813,0.04068934090384512,20
evo_35m,Evo-35M,ed2_si06,200,0.3119597288402132,0.02811224623950451,20
evo_35m,Evo-35M,ed2_si06,500,0.4015294715358251,0.01768348004456056,20
evo_35m,Evo-35M,ed2_si06,1000,0.46222741187832755,0.014828894074722173,20
evo_35m,Evo-35M,ed2_si06,2000,0.5043069899774076,0.006210556405470515,20
evo_35m,Evo-35M,ed2_si06,5000,0.5387363943814804,0.002777636637700919,20
evo_35m,Evo-35M,ed5_si06,25,0.38692966297620635,0.07198026280601268,20
evo_35m,Evo-35M,ed5_si06,50,0.45418771558341,0.04236289850031837,20
evo_35m,Evo-35M,ed5_si06,100,0.5574408486667288,0.03173226380694934,20
evo_35m,Evo-35M,ed5_si06,200,0.6136119962182179,0.021421425020220028,20
evo_35m,Evo-35M,ed5_si06,500,0.6623637108982939,0.010472353985613405,20
evo_35m,Evo-35M,ed5_si06,1000,0.6851566113654599,0.005084225956105305,20
evo_35m,Evo-35M,ed5_si06,2000,0.6961407546721562,0.0024185767693519996,20
evo_35m,Evo-35M,ed5_si06,5000,0.7034868475171174,0.0018836095546229368,20
evo_35m,Evo-35M,exp,25,0.11898865016552385,0.0415137367920535,20
evo_35m,Evo-35M,exp,50,0.18394752321392446,0.04915655321366543,20
evo_35m,Evo-35M,exp,100,0.23031050336370645,0.0401814793932968,20
evo_35m,Evo-35M,exp,200,0.2997720374667671,0.03836859407994914,20
evo_35m,Evo-35M,exp,500,0.3931638044362458,0.02265284486328403,20
evo_35m,Evo-35M,exp,1000,0.4467635002277636,0.014968478504361943,20
evo_35m,Evo-35M,exp,2000,0.4987750055148328,0.012087976272710096,20
evo_35m,Evo-35M,exp,5000,0.5350585587958918,0.006534023581808517,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed2_m22,25,0.11902921255005819,0.05234570595993852,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed2_m22,50,0.1608183660310935,0.05182873278729481,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed2_m22,100,0.20182494961765224,0.031583327278544196,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed2_m22,200,0.2377743676321132,0.02596245701227805,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed2_m22,500,0.2872422622784684,0.014010026866021404,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed2_m22,1000,0.3543542421690987,0.010117659396064693,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed2_m22,2000,0.41096206119344325,0.005776705782371692,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed2_m22,5000,0.4546002909066057,0.0036340435002142632,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed5_m22,25,0.3774071991121421,0.08569349113305633,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed5_m22,50,0.45843569660879807,0.06049721579308569,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed5_m22,100,0.5375134306022694,0.024870840287785148,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed5_m22,200,0.5621232105150457,0.027310918585905772,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed5_m22,500,0.6056397309259612,0.016468016590416457,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed5_m22,1000,0.6598346386069383,0.008048763448878143,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed5_m22,2000,0.6990531077420898,0.003980290669863441,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed5_m22,5000,0.7234978618137322,0.0018200867608566124,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed811_m22,25,0.3433657328899093,0.0682137631286534,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed811_m22,50,0.3984482159474214,0.034001065569720955,20
vanilla_cdrmix_35m,Vanilla+cdrmix 35M,ed811_m22,100,0.44237900142463726,0.052504098197673266,20
